product_id,sku,add_category_ids,segment,name,note
427,DMS-BRB-001,,barbed-fittings,Connector / Joint,
431,DMS-BRB-002,,barbed-fittings,Elbow,
434,DMS-BRB-003,,barbed-fittings,Elbow with Thread,
440,DMS-BRB-004,,barbed-fittings,End Plugs,
442,DMS-BRB-005,,barbed-fittings,End Stop – Shape 8,
444,DMS-BRB-006,29|47,barbed-fittings,Female Adaptor,
502,DMS-BRB-007,,barbed-fittings,Lock Connector,
501,DMS-BRB-008,,barbed-fittings,Lock Elbow,
505,DMS-BRB-009,,barbed-fittings,Lock Elbow with Thread,
503,DMS-BRB-010,,barbed-fittings,Lock Male Adaptor W/ BSP Thread,
504,DMS-BRB-011,,barbed-fittings,Lock Tee,
506,DMS-BRB-012,,barbed-fittings,Lock Tee With Thread,
460,DMS-BRB-013,,barbed-fittings,Mais Insert Fittings – 17 mm,
463,DMS-BRB-014,,barbed-fittings,Male Adaptor W/ BSP Thread,
493,DMS-BRB-015,,barbed-fittings,Starter,
383,DMS-BUB-001,,bubblers,Adjustable Bubbler,
509,DMS-BUB-002,,bubblers,Pressure Compensated Bubbler,
492,DMS-BUB-003,,bubblers,Spray Jet Green,
433,DMS-BFF-001,,butt-fusion-fittings,Elbow Butt Fusion,
438,DMS-BFF-002,,butt-fusion-fittings,End Cap Butt Fusion,
480,DMS-BFF-003,,butt-fusion-fittings,Reducer Butt Fusion,
539,DMS-BFF-004,,butt-fusion-fittings,Spigot Flange Adaptor,
540,DMS-BFF-005,,butt-fusion-fittings,Tee Butt Fusion,
541,DMS-BFF-006,,butt-fusion-fittings,Tee Reducer Butt Fusion,
407,DMS-CLS-001,,clamp-saddle-pn6-pn16,Clamp Saddle with Four Bolts,
406,DMS-CLS-002,,clamp-saddle-pn6-pn16,Clamp Saddle with Two Bolts,
370,DMS-CMP-001,,compression-fittings,90° Elbow Coupling,
380,DMS-CMP-002,,compression-fittings,90° Elbow with BSP Thread (Female),
381,DMS-CMP-003,,compression-fittings,90° Elbow with BSP Thread (Male),
382,DMS-CMP-004,,compression-fittings,90° Tee Coupling,
414,DMS-CMP-005,,compression-fittings,"Connector ( 160, 200 )",
428,DMS-CMP-006,,compression-fittings,Connector Coupling,
435,DMS-CMP-007,,compression-fittings,End Cap,
445,DMS-CMP-008,,compression-fittings,Flanged Joint,
481,DMS-CMP-009,,compression-fittings,Reducer Coupling,
487,DMS-CMP-010,,compression-fittings,Reducing Tees,
966,DMS-CMP-011,,compression-fittings,Tee Equal,
968,DMS-CMP-012,,compression-fittings,Tee with BSP Thread (Female),
971,DMS-CMP-013,,compression-fittings,Tee with BSP Thread (Male),
477,DMS-CPA-001,,cp-accessories,Air Release/ Vacuum Relief Valve,
403,DMS-CPA-002,,cp-accessories,Bubbler Stake (16 x 1/2″),
404,DMS-CPA-003,,cp-accessories,Central Pivot Sprayer,
405,DMS-CPA-004,,cp-accessories,Central Pivot Sprayer Triangle,
409,DMS-CPA-005,49|47,cp-accessories,Combination Air Valve (WSI-AV1-1,
411,DMS-CPA-006,49|47,cp-accessories,Combination Air Valve (WSI-AV2-2,
413,DMS-CPA-007,49|47,cp-accessories,Combination Air Valve (WSI-AV2Plus-2,
429,DMS-CPA-008,,cp-accessories,Distribution Tubing Stake MS-2,
474,DMS-CPA-009,,cp-accessories,Pipe Stake 13 x 19,
478,DMS-CPA-010,,cp-accessories,Puncher,
479,DMS-CPA-011,,cp-accessories,Ratchet Clip,
962,DMS-CPA-012,,cp-accessories,Starter for Central Pivot Sprayer,
964,DMS-CPA-013,,cp-accessories,U-Joint,
960,DMS-CPA-014,,cp-accessories,Wrench For Compression Fittings,
447,DMS-DRS-001,,drip-system,GR Dripline,
461,DMS-DRS-002,,drip-system,MAIS PC Tone (PC Flat Inline Dripper Pipe),
462,DMS-DRS-003,,drip-system,MAIS Tone Non PC with Flat Built-ln Drippers,
525,DMS-EFF-001,,electro-fusion-fittings,EF Coupler,
526,DMS-EFF-002,,electro-fusion-fittings,EF Elbow 45°,
527,DMS-EFF-003,,electro-fusion-fittings,EF Elbow 90°,
528,DMS-EFF-004,,electro-fusion-fittings,EF End Cap,
376,DMS-EFF-005,39|47,electro-fusion-fittings,EF Reducer,
529,DMS-EFF-006,,electro-fusion-fittings,EF Tee,
531,DMS-EFF-007,,electro-fusion-fittings,EF Tee Reducer,
533,DMS-EFF-008,,electro-fusion-fittings,EF Transition Female Adapter,
532,DMS-EFF-009,,electro-fusion-fittings,EF Transition Male Adapter,
371,,39|47,electro-fusion-fittings,EF Coupler,DUPLICATE of 525
372,,39|47,electro-fusion-fittings,EF Elbow 45°,DUPLICATE of 526
373,,39|47,electro-fusion-fittings,EF Elbow 90°,DUPLICATE of 527
374,,39|47,electro-fusion-fittings,EF End Cap,DUPLICATE of 528
375,,39|47,electro-fusion-fittings,EF Tee,DUPLICATE of 529
377,,39|47,electro-fusion-fittings,EF Tee Reducer,DUPLICATE of 531
378,,39|47,electro-fusion-fittings,EF Transition Male Adapter,DUPLICATE of 532
379,,39|47,electro-fusion-fittings,EF Transition Female Adapter,DUPLICATE of 533
530,,39|47,electro-fusion-fittings,EF Reducer,DUPLICATE of 376
386,DMS-FIL-001,,filtration,Automatic Filtration Backwash,
393,DMS-FIL-002,,filtration,Backwash Control Valves,
430,DMS-FIL-003,,filtration,Double Twin Filter,
475,DMS-FIL-004,,filtration,Plastic Disc Filter,
388,DMS-FIL-005,,filtration,Semi Automatic Disc Filter,
390,DMS-FIL-006,,filtration,Semi Automatic Screen Filter,
520,DMS-FIL-007,,filtration,Y – Shape Disc Filters,
521,DMS-FIL-008,,filtration,Y – Shape Screen Filters,
523,DMS-FIL-009,,filtration,Y-Type Disc Filters,
449,DMS-HDP-001,,hdpe-pipes,"HDPE PE 100 (ISO 4427, DIN 8074)",
662,DMS-HDP-002,,hdpe-pipes,HDPE Pipes (DIN 8074),
457,DMS-LLD-001,,lldpe-pipes,LLDPE PIPES,
459,DMS-LLD-002,,lldpe-pipes,MAIS Flexible Swing Pipe And Fittings,
498,DMS-MVL-001,,mais-valves-fittings,Automatic Flush Valve,
395,DMS-MVL-002,66|47,mais-valves-fittings,Ball Valve for Irrigation,
396,DMS-MVL-003,66|47,mais-valves-fittings,Ball Valve for Irrigation (F X F,
398,DMS-MVL-004,66|47,mais-valves-fittings,Barbed Threaded Valve,
400,DMS-MVL-005,66|47,mais-valves-fittings,Barbed Valves,
454,DMS-MVL-006,,mais-valves-fittings,Insert Valves,
488,DMS-MVL-007,,mais-valves-fittings,"Single Union, B.S – Parallel Female Threaded",
489,DMS-MVL-008,,mais-valves-fittings,"Single Union, B.S – Parallel Male/ Female Threaded",
385,DMS-ODR-001,65|47,on-line-dripper-fittings,Adjustable Flow Dripper – Single Outlet,
500,DMS-ODR-002,,on-line-dripper-fittings,Big Octa,
455,DMS-ODR-003,,on-line-dripper-fittings,JET SPRAY,
458,DMS-ODR-004,,on-line-dripper-fittings,MAIS Adjustable Flow Dripper,
465,DMS-ODR-005,65|47,on-line-dripper-fittings,Micro Sprays,
469,DMS-ODR-006,65|47,on-line-dripper-fittings,Octa Shrubbler – Barbed,
471,DMS-ODR-007,65|47,on-line-dripper-fittings,Octa Shrubbler – Threaded,
473,DMS-ODR-008,65|47,on-line-dripper-fittings,Octa-Shrubbler (Spike,
510,DMS-ODR-009,,on-line-dripper-fittings,T.K. Drip Emitters,
953,DMS-ODR-010,,on-line-dripper-fittings,VARI FLOW DRIPPERS,
432,DMS-PPT-001,,pp-threaded-fittings,Elbow ( Female x Female ),
436,DMS-PPT-002,,pp-threaded-fittings,End Cap – Female Thread,
437,DMS-PPT-003,,pp-threaded-fittings,End Cap – Male Thread,
467,DMS-PPT-004,,pp-threaded-fittings,Nipple (M x M),
483,DMS-PPT-005,,pp-threaded-fittings,Reducing Bush (M x F),
485,DMS-PPT-006,,pp-threaded-fittings,Reducing Nipple (M x M),
955,DMS-PPT-007,,pp-threaded-fittings,Tee ( Female x Female x Female ),
957,DMS-PPT-008,,pp-threaded-fittings,Thread Socket – Female,
544,DMS-SWP-001,,swimming-pool,24W LED Colorful Fountain Spotlight with Remote,
546,DMS-SWP-002,,swimming-pool,24W Warm White LED Fountain Spotlight,
548,DMS-SWP-003,,swimming-pool,9W LED Colorful Fountain Spotlight with Remote,
550,DMS-SWP-004,,swimming-pool,9W Warm White LED Fountain Spotlight,
552,DMS-SWP-005,,swimming-pool,Chlorine tanks,
554,DMS-SWP-006,,swimming-pool,Chlorine tanks,
556,DMS-SWP-007,,swimming-pool,Cobra Waterfall,
